beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Delirium Tremens","Delirium - Huyghe Brewery","Belgian Strong Golden Ale",8.5,24,"A solid beer that would be easy to drink exclusively for a duration of time.",,,,,,,3.75,"2020-07-23 18:01:01",https://untappd.com/c/921065799,https://untappd.com/beer/4485,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"light,smooth",,Draft,921065799,4485,285,,3.87,3.87,,0,0
"Delirium Nocturnum","Delirium - Huyghe Brewery","Belgian Strong Dark Ale",8.5,24,"A darker beer from the Delirium brand. Would be a consistent choice for a dark beer lover.",,,,,,,3,"2020-07-23 18:02:49",https://untappd.com/c/921066266,https://untappd.com/beer/4486,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"strong,dark",,Bottle,921066266,4486,285,,3.78,3.78,,0,0
"La Guillotine","Delirium - Huyghe Brewery","Belgian Strong Golden Ale",8.5,0,"A very good brew. It is quite strong, which gives it a nice bite.",,,,,,,4,"2020-07-23 18:05:09",https://untappd.com/c/921066913,https://untappd.com/beer/26907,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"light,strong",,Draft,921066913,26907,285,,3.58,3.58,,0,0
"Hanalei Island IPA","Kona Brewing Company","IPA - Session",4.5,40,,,,,,,,4,"2020-07-23 18:06:26",https://untappd.com/c/921067292,https://untappd.com/beer/1604713,https://untappd.com/brewery/1988,"United States","Kailua Kona",HI,"tropical,fruity,hoppy",,Bottle,921067292,1604713,1988,,3.55,3.55,,0,0
"Delirium Argentum","Delirium - Huyghe Brewery","IPA - Belgian",7,48,"My favorite IPA to date. A very solid beer.",,,,,,,4,"2020-07-23 18:07:14",https://untappd.com/c/921067547,https://untappd.com/beer/800757,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"smooth,hoppy",,Draft,921067547,800757,285,,3.61,3.61,,0,0
Orval,"Brasserie d'Orval","Pale Ale - Belgian",6.2,36,"Delicious Ale, no more describing necessary.",,,,,,,4,"2020-07-23 18:08:16",https://untappd.com/c/921067838,https://untappd.com/beer/851,https://untappd.com/brewery/169,Belgium,Villers-devant-Orval,Luxembourg,sour,,Bottle,921067838,851,169,,3.7,3.7,,0,0
"Trappist Westvleteren 12","Brouwerij De Sint-Sixtusabdij van Westvleteren","Belgian Quadrupel",10.2,38,"Quite a decent beer. Darker brews are not really my thing anymore, but it definitely was worth tasting!",,,,,,,3.5,"2020-07-23 18:10:04",https://untappd.com/c/921068396,https://untappd.com/beer/4680,https://untappd.com/brewery/263,Belgium,Westvleteren,Vlaanderen,"rich,smooth,dark",,Bottle,921068396,4680,263,,4.51,4.51,,0,0
"Trappist Westvleteren Blond","Brouwerij De Sint-Sixtusabdij van Westvleteren","Belgian Blonde",5.8,41,"A very tasty beer, considerably the best Blond I have tasted yet!",,,,,,,4.5,"2020-07-23 18:11:16",https://untappd.com/c/921068762,https://untappd.com/beer/4681,https://untappd.com/brewery/263,Belgium,Westvleteren,Vlaanderen,"light,dry,smooth",,Bottle,921068762,4681,263,,4.05,4.05,,0,0
"Gruut Inferno","Gentse Gruut Stadsbrouwerij","Belgian Tripel",9,23,,,,,,,,4.25,"2020-07-23 18:14:21",https://untappd.com/c/921069787,https://untappd.com/beer/56499,https://untappd.com/brewery/6224,Belgium,Ghent,Vlaanderen,"strong,bitter",,Bottle,921069787,56499,6224,,3.53,3.53,,0,0
"La Trappe Blond","Bierbrouwerij De Koningshoeven","Belgian Blonde",6.5,20,,,,,,,,3.75,"2020-07-23 18:15:23",https://untappd.com/c/921070115,https://untappd.com/beer/17858,https://untappd.com/brewery/110,Netherlands,Berkel-Enschot,Noord-Brabant,"light,smooth",,Bottle,921070115,17858,110,,3.67,3.67,,0,0
"Hop House 13 Lager",Guinness,"Lager - Pale",4.1,0,"My favorite beer to drink when I want a few, and am not in a place to experiment with a good variety.",,,,,,,3,"2020-07-23 18:18:11",https://untappd.com/c/921071024,https://untappd.com/beer/989661,https://untappd.com/brewery/49,Ireland,"Saint James' Gate",Leinster,"light,smooth,hoppy",,Draft,921071024,989661,49,,3.37,3.37,,0,0
"Leffe Blonde / Blond","Abbaye de Leffe","Belgian Blonde",6.6,20,"Its decent, not half bad. A bit too sweet for my liking.",,,,,,,3.25,"2020-07-23 18:19:48",https://untappd.com/c/921071537,https://untappd.com/beer/5940,https://untappd.com/brewery/5,Belgium,Leuven,Vlaanderen,"light,sweet,smooth",,Bottle,921071537,5940,5,,3.59,3.59,,0,0
Kilkenny,Guinness,"Red Ale - Irish",4.3,0,"Its okay.",,,,,,,2.75,"2020-07-23 18:20:57",https://untappd.com/c/921071918,https://untappd.com/beer/6337,https://untappd.com/brewery/49,Ireland,"Saint James' Gate",Leinster,"creamy,smooth",,Draft,921071918,6337,49,,3.4,3.4,,0,0
Knotty,"Three Weavers Brewing Company","IPA - Imperial / Double",8.6,69,,,,,,,,3.5,"2020-07-23 18:21:49",https://untappd.com/c/921072216,https://untappd.com/beer/849679,https://untappd.com/brewery/147846,"United States",Inglewood,CA,"malty,fruity,hoppy",,Can,921072216,849679,147846,,3.88,3.88,,0,0
"Blood Junkie","Three Weavers Brewing Company","Red Ale - Imperial / Double",8.7,70,"A very solid Red Ale. Not to mention that the branding is excellent!",,,,,,,4,"2020-07-23 18:23:09",https://untappd.com/c/921072603,https://untappd.com/beer/907019,https://untappd.com/brewery/147846,"United States",Inglewood,CA,"strong,hoppy",,Can,921072603,907019,147846,,3.76,3.76,,0,0
"Bud Light",Anheuser-Busch,"Lager - American Light",4.2,6,"Pure trash",,,,,,,0.5,"2020-07-23 18:25:11",https://untappd.com/c/921073247,https://untappd.com/beer/3784,https://untappd.com/brewery/44,"United States","St. Louis",MO,,,,921073247,3784,44,,2.33,2.33,,0,0
"Traditional Lager","Yuengling Brewery","Lager - American Amber / Red",4.5,16,"A good, consistent lager.",,,,,,,3.25,"2020-07-23 18:25:56",https://untappd.com/c/921073504,https://untappd.com/beer/16649,https://untappd.com/brewery/1976,"United States",Pottsville,PA,"light,smooth",,Bottle,921073504,16649,1976,,3.49,3.49,,0,0
Beck's,"Brauerei Beck","Pilsner - German",4.9,21,"I will only drink and enjoy this at a concert.",,,,,,,2.5,"2020-07-23 18:27:16",https://untappd.com/c/921073949,https://untappd.com/beer/6870,https://untappd.com/brewery/95,Germany,Neustadt,Bremen,"clean,light",,Bottle,921073949,6870,95,,2.95,2.95,,0,0
"Paulaner Hefe-Weißbier / Hefe-Weizen / Weissbier","Paulaner Brauerei","Wheat Beer - Hefeweizen",5.5,16,"Its good for dinner. I wouldn't drink more than 2 or 3 though.",,,,,,,3.5,"2020-07-23 18:28:13",https://untappd.com/c/921074276,https://untappd.com/beer/15677,https://untappd.com/brewery/972,Germany,Munich,Bayern,"light,sweet,smooth",,Bottle,921074276,15677,972,,3.67,3.67,,0,0
Deliria,"Delirium - Huyghe Brewery","Belgian Strong Golden Ale",8.5,32,"Its quite decent. Not as preferable as other Delirium brews though.",,,,,,,3.25,"2020-07-23 18:30:20",https://untappd.com/c/921074994,https://untappd.com/beer/446193,https://untappd.com/brewery/285,Belgium,Melle,Vlaanderen,"light,strong",,Bottle,921074994,446193,285,,3.63,3.63,,0,0
"Guinness Draught",Guinness,"Stout - Irish Dry",4.2,45,,,,,,,,3,"2020-07-23 18:32:31",https://untappd.com/c/921075693,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,"Saint James' Gate",Leinster,"creamy,smooth,dark",,Draft,921075693,4473,49,,3.77,3.77,,0,0
